Theme parameters supported by the functions

ThemeLayout_GetParameter, ThemeLayout_SetParameter


v5


idx   	   retval                           desc                                      value  defValue  minValue  maxValue
167   LayoutA-mcpWidth                   Layout A - Mixer Panel Width                   88        88        28       140
168   LayoutA-mcpWidthSel                Layout A - Selected Mixer Panel Width          88        88        28       140
169   LayoutA-mcpWidthRecarm             Layout A - Armed Mixer Panel Width             88        88        28       140
170   LayoutA-mcpSidebar                 Layout A - Mixer Sidebar                        0         0         0         1
171   LayoutA-mcpSidebarSel              Layout A - Selected Mixer Sidebar               0         0         0         1
172   LayoutA-mcpSidebarRecarm           Layout A - Armed Mixer Sidebar                  0         0         0         1
173   LayoutA-sidebarWidth               Layout A - Sidebar Width                       88        88        34       300
174   LayoutA-mcpNchanGrow               Layout A - Mixer nChan Grow                     2         2         0        20
175   LayoutA-mcpNchanGrowSel            Layout A - Selected Mixer nChan Grow            2         2         0        20
176   LayoutA-mcpNchanGrowRecarm         Layout A - Armed Mixer nChan Grow               2         2         0        20
177   LayoutA-mcpMeterVals               Layout A - Mixer Meter Values                   0         0         0         1
178   LayoutA-mcpMeterValsSel            Layout A - Selected Mixer Meter Values          0         0         0         1
179   LayoutA-mcpMeterValsRecarm         Layout A - Armed Mixer Meter Values             1         1         0         1
180   LayoutA-mcpNormalDarkButtons       Layout A - Dark Under Buttons                   1         1         0         1
181   LayoutA-mcpNormalShowSecIn         Layout A - mcpNormalShowSecIn                 300       300         0       500
182   LayoutA-mcpNormalShowSecPan        Layout A - mcpNormalShowSecPan                200       200         0       500
183   LayoutA-mcpNormalShowRoute         Layout A - mcpNormalShowRoute                   1         1         0         1
184   LayoutA-mcpNormalShowSecFx         Layout A - mcpNormalShowSecFx                   1         1         0         1
185   LayoutA-mcpNormalShowEnv           Layout A - mcpNormalShowEnv                     1         1         0         1
186   LayoutA-mcpNormalShowPhase         Layout A - mcpNormalShowPhase                   1         1         0         1
187   LayoutA-mcpLabelSize               Layout A - MCP Label Font Size                  4         4         1         5
188   LayoutA-mcpInterShowSecIn          Layout A - mcpInterShowSecIn                  320       320         0       500
189   LayoutA-mcpInterShowSecButtons     Layout A - mcpInterShowSecButtons             280       280         0       500
190   LayoutA-mcpInterShowSecPan         Layout A - mcpInterShowSecPan                 240       240         0       500
191   LayoutA-mcpStripLabelHeight        Layout A - Label Height                        88        88        20       300
192   LayoutA-mcpStripInputHeight        Layout A - Record Input Height                 70        70        20       140
193   LayoutA-mcpStripMeterHeight        Layout A - Meter Height                        40        40        20       300
194   LayoutA-mcpStripVolumeHeight       Layout A - Volume Height                      120       120        60       300
195   LayoutA-mcpStripHideExtmixer       Layout A - Hide non-sidebar ExtMixer            0         0         0         1
196   LayoutB-verboseMcp                 Layout B - Verbose MCP                          0         0         0         1
197   LayoutB-mcpMeterReadout            Layout B - mcpMeterReadout                      0         0         0         1
198   LayoutB-mcpWidth                   Layout B - Mixer Panel Width                   28        28        28       140
199   LayoutB-mcpWidthSel                Layout B - Selected Mixer Panel Width          32        32        28       140
200   LayoutB-mcpWidthRecarm             Layout B - Armed Mixer Panel Width             40        40        28       140
201   LayoutB-mcpSidebar                 Layout B - Mixer Sidebar                        0         0         0         1
202   LayoutB-mcpSidebarSel              Layout B - Selected Mixer Sidebar               0         0         0         1
203   LayoutB-mcpSidebarRecarm           Layout B - Armed Mixer Sidebar                  0         0         0         1
204   LayoutB-sidebarWidth               Layout B - Sidebar Width                       88        88        34       300
205   LayoutB-mcpNchanGrow               Layout B - Mixer nChan Grow                     0         0         0        20
206   LayoutB-mcpNchanGrowSel            Layout B - Selected Mixer nChan Grow            0         0         0        20
207   LayoutB-mcpNchanGrowRecarm         Layout B - Armed Mixer nChan Grow               0         0         0        20
208   LayoutB-mcpMeterVals               Layout B - Mixer Meter Values                   0         0         0         1
209   LayoutB-mcpMeterValsSel            Layout B - Selected Mixer Meter Values          0         0         0         1
210   LayoutB-mcpMeterValsRecarm         Layout B - Armed Mixer Meter Values             1         1         0         1
211   LayoutB-mcpNormalDarkButtons       Layout B - Dark Under Buttons                   1         1         0         1
212   LayoutB-mcpNormalShowSecIn         Layout B - mcpNormalShowSecIn                 350       350         0       500
213   LayoutB-mcpNormalShowSecPan        Layout B - mcpNormalShowSecPan                300       300         0       500
214   LayoutB-mcpNormalShowRoute         Layout B - mcpNormalShowRoute                   1         1         0         1
